CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10019,Male,0,Yes,No,37,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.28,783.94,No
CUST-10020,Female,0,No,No,46,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),79.64,3666.8,No
CUST-10021,Male,1,No,No,9,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),74.3,683.71,Yes
CUST-10022,Female,0,Yes,Yes,17,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.31,320.77,No
CUST-10023,Female,0,No,No,47,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.21,4707.47,No
CUST-10024,Female,0,No,No,59,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.86,1310.39,No
CUST-10025,Female,0,No,No,54,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.72,3382.01,Yes
CUST-10026,Female,0,No,Yes,12,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,66.66,785.35,Yes
CUST-10027,Female,1,No,No,64,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.5,1200.71,No
CUST-10028,Female,0,No,No,6,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),54.29,342.83,No
CUST-10029,Female,0,No,Yes,53,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,100.64,5290.7,No
CUST-10030,Male,0,Yes,No,16,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),74.33,1194.46,Yes
CUST-10031,Male,0,Yes,No,5,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.89,494.3,Yes
CUST-10032,Female,0,Yes,No,46,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.57,862.22,No
CUST-10033,Female,0,No,No,14,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.08,1560.17,No
CUST-10034,Female,0,No,Yes,44,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.5,826.38,No
CUST-10035,Male,0,Yes,No,63,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,91.94,5806.58,No
CUST-10036,Female,0,No,No,52,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.93,1075.15,No
CUST-10037,Male,0,Yes,No,26,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),104.75,2714.35,Yes
CUST-10038,Male,0,Yes,No,53,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),86.04,4571.97,No
CUST-10039,Male,0,No,No,29,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.07,2729.45,Yes
CUST-10040,Male,0,Yes,Yes,19,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),89.53,1670.2,No
CUST-10041,Male,0,Yes,No,47,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.53,982.74,No
CUST-10042,Female,0,No,No,8,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,92.61,711.61,No
CUST-10043,Female,0,No,No,23,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),105.66,2436.68,Yes
CUST-10044,Female,0,Yes,No,35,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.54,653.05,No
CUST-10045,Female,0,No,No,53,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.58,1167.37,No
CUST-10046,Female,0,No,No,58,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),72.31,4189.26,No
CUST-10047,Male,0,Yes,Yes,5,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.5,51.92,No
CUST-10048,Female,0,Yes,No,16,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.72,1102.39,Yes
CUST-10049,Female,0,No,No,17,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,52.01,890.82,No
CUST-10050,Male,0,Yes,No,32,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,79.76,2573.79,No
CUST-10051,Female,1,No,No,52,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.69,1169.32,No
CUST-10052,Male,0,No,No,20,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,90.62,1826.46,No
CUST-10053,Female,0,No,No,66,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,98.59,6524.88,No
CUST-10054,Male,0,Yes,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.0,21.0,No
CUST-10055,Female,1,No,No,58,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.52,4560.5,No
CUST-10056,Female,0,Yes,No,44,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.92,847.04,No
CUST-10057,Male,0,Yes,No,6,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21.88,142.56,No
CUST-10058,Male,0,Yes,No,50,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.41,1074.95,No
CUST-10059,Male,0,Yes,No,72,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,71.92,5153.47,No
CUST-10060,Male,0,No,No,20,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,81.25,1617.06,No
CUST-10061,Male,1,Yes,No,14,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.5,280.7,No
CUST-10062,Male,0,Yes,No,5,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,62.89,318.45,Yes
CUST-10063,Male,0,No,Yes,41,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,82.8,3381.14,Yes
CUST-10064,Male,0,Yes,Yes,40,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),106.84,4258.24,No
CUST-10065,Female,0,No,No,34,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,66.01,2264.4,Yes
CUST-10066,Female,0,Yes,No,45,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.27,857.33,No
CUST-10067,Male,0,No,No,71,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.55,5936.46,No
CUST-10068,Female,0,No,No,71,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,61.65,4368.89,No
CUST-10069,Female,0,Yes,Yes,27,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),66.05,1739.11,No
CUST-10070,Female,0,Yes,No,44,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),85.63,3754.66,No
CUST-10071,Female,0,Yes,No,33,DSL,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),63.07,2104.07,No
CUST-10072,Male,1,No,No,33,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,105.26,3516.46,No
CUST-10073,Female,0,Yes,No,44,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),75.72,3316.21,No
CUST-10074,Male,1,Yes,Yes,20,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,100.01,2006.87,Yes
CUST-10075,Female,0,Yes,Yes,36,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.7,719.77,No
CUST-10076,Female,0,Yes,No,7,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,102.28,739.98,Yes
CUST-10077,Female,0,Yes,No,32,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.32,1585.99,No
CUST-10078,Male,0,No,No,67,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.22,1282.45,No
CUST-10079,Female,0,Yes,Yes,39,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,66.15,2585.0,No
CUST-10080,Male,0,Yes,Yes,24,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.5,469.45,No
CUST-10081,Female,0,No,No,70,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,81.59,5687.24,No
CUST-10082,Male,0,No,No,54,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),93.29,5053.14,No
CUST-10083,Female,1,Yes,No,38,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.32,3978.23,No
CUST-10084,Male,1,Yes,Yes,32,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.2,3104.32,Yes
CUST-10085,Male,0,Yes,No,45,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.86,981.58,No
CUST-10086,Female,0,No,Yes,61,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.24,1582.41,No
CUST-10087,Male,0,Yes,Yes,70,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.84,6506.08,No
CUST-10088,Female,0,No,No,53,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.97,5037.4,Yes
CUST-10089,Female,0,No,Yes,51,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.5,951.02,No
CUST-10090,Female,0,No,Yes,56,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,91.53,5148.79,No
CUST-10091,Female,0,Yes,No,27,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.74,506.13,No
CUST-10092,Female,1,Yes,No,38,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,96.18,3658.01,No
CUST-10093,Female,0,Yes,No,62,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),100.85,6292.09,No
CUST-10094,Female,0,Yes,No,18,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),74.46,1356.24,No
CUST-10095,Female,0,No,Yes,64,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,63.06,4022.62,No
CUST-10096,Female,0,No,Yes,30,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,95.26,2841.8,No
CUST-10097,Female,0,No,No,49,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.02,4813.34,Yes
CUST-10098,Female,1,No,No,41,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,77.6,3171.81,No
CUST-10099,Male,0,Yes,No,13,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.08,1272.18,No
CUST-10100,Male,1,Yes,Yes,34,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,91.68,3102.25,Yes
CUST-10101,Female,0,Yes,No,25,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.55,580.23,No
CUST-10102,Female,0,No,Yes,66,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.71,5663.79,No
CUST-10103,Female,0,No,No,18,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),96.98,1746.7,No
CUST-10104,Female,0,No,No,5,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),52.87,231.7,No
CUST-10105,Female,1,Yes,No,19,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,87.74,1650.55,Yes
CUST-10106,Female,1,Yes,No,42,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.35,2911.48,No
CUST-10107,Female,0,No,No,18,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,108.29,1948.03,Yes
CUST-10108,Female,0,Yes,No,32,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),102.44,3311.3,Yes
CUST-10109,Male,0,No,No,21,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),69.24,1456.52,No
CUST-10110,Female,1,No,Yes,10,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),91.34,934.17,No
CUST-10111,Male,0,No,No,37,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.16,786.51,No
CUST-10112,Female,0,Yes,Yes,49,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),64.76,3190.46,No
CUST-10113,Female,0,Yes,No,13,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,88.89,1122.21,Yes
CUST-10114,Male,0,Yes,No,55,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.59,4297.32,No
CUST-10115,Female,0,Yes,No,17,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.83,1171.59,No
CUST-10116,Male,0,Yes,No,9,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,76.78,720.95,No
CUST-10117,Female,1,No,Yes,44,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,79.97,3484.55,No
CUST-10118,Female,0,No,No,46,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.67,4769.06,Yes
CUST-10119,Male,0,Yes,No,8,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,70.21,531.69,Yes
CUST-10120,Female,1,Yes,No,37,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),72.36,2664.04,No
CUST-10121,Male,0,Yes,No,19,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,57.51,1054.67,No
CUST-10122,Female,1,Yes,No,63,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.89,5093.7,Yes
CUST-10123,Male,0,No,No,46,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,80.06,3679.07,Yes
CUST-10124,Male,0,Yes,Yes,71,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,74.15,5260.72,No
CUST-10125,Female,1,Yes,Yes,26,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),81.43,2111.33,No
CUST-10126,Female,0,Yes,No,46,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,101.66,4689.06,Yes
CUST-10127,Male,0,No,No,46,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),80.05,3716.59,No
CUST-10128,Female,0,No,No,14,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.67,1357.2,Yes
CUST-10129,Female,0,Yes,No,63,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),74.12,4652.75,No
CUST-10130,Female,0,Yes,No,72,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.04,6053.47,No
CUST-10131,Male,0,No,No,3,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,83.28,244.48,Yes
CUST-10132,Male,1,No,Yes,28,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,85.38,2384.31,No
CUST-10133,Male,0,Yes,Yes,29,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),67.48,1930.67,No
CUST-10134,Male,0,No,No,18,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,71.29,1274.11,No
CUST-10135,Male,0,No,No,35,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.29,3291.24,Yes
CUST-10136,Male,0,No,No,47,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,90.39,4252.71,No
CUST-10137,Male,0,No,No,5,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),64.64,305.05,Yes
CUST-10138,Male,1,No,Yes,59,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.08,1202.57,No
CUST-10139,Male,0,Yes,No,59,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,88.0,5166.71,No
CUST-10140,Female,0,No,Yes,47,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),65.25,3097.83,No
CUST-10141,Male,0,No,No,13,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),95.33,1222.94,No
CUST-10142,Female,0,No,No,33,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,76.56,2555.33,No
CUST-10143,Female,0,Yes,No,62,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),87.06,5382.72,No
CUST-10144,Female,0,No,No,16,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,93.65,1515.01,Yes
CUST-10145,Male,0,No,Yes,44,DSL,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),66.9,2936.3,No
CUST-10146,Male,0,Yes,No,58,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.07,1455.67,No
CUST-10147,Male,0,No,No,6,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Mailed check,94.13,576.82,No
CUST-10148,Male,0,No,No,15,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),79.22,1181.63,Yes
CUST-10149,Female,0,No,No,4,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,83.05,294.13,Yes
CUST-10150,Male,0,Yes,No,56,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,83.43,4659.36,No
CUST-10151,Male,0,Yes,No,64,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.43,1489.41,No
CUST-10152,Male,0,No,Yes,68,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,69.09,4732.69,No
CUST-10153,Male,0,Yes,No,34,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),96.72,3287.54,No
CUST-10154,Male,0,No,Yes,56,DSL,No,Yes,No,No,No,Yes,Two year,No,Mailed check,65.63,3678.69,No
CUST-10155,Female,0,Yes,No,32,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.52,2190.33,No
CUST-10156,Male,1,Yes,No,9,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.02,805.54,Yes
CUST-10157,Female,0,Yes,No,63,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,95.61,5998.67,Yes
CUST-10158,Male,0,No,No,72,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.16,7125.78,No
CUST-10159,Female,1,Yes,No,33,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,87.78,2909.99,No
CUST-10160,Male,0,Yes,Yes,21,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),82.85,1735.39,No
CUST-10161,Male,0,Yes,No,55,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,66.85,3674.72,No
CUST-10162,Female,0,Yes,No,57,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.81,4947.77,Yes
CUST-10163,Female,0,No,No,2,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.33,182.42,Yes
CUST-10164,Female,0,No,Yes,13,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,87.85,1129.23,No
CUST-10165,Male,1,Yes,No,4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.1,98.4,No
CUST-10166,Female,0,No,No,50,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),78.11,3862.44,No
CUST-10167,Male,0,Yes,No,48,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.94,4572.88,No
CUST-10168,Male,0,No,No,30,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,66.78,1998.43,No
CUST-10169,Female,1,No,No,29,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.81,581.39,No
CUST-10170,Female,0,No,No,8,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.69,169.19,No
CUST-10171,Male,0,Yes,No,12,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.72,875.28,Yes
CUST-10172,Male,0,No,Yes,41,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,98.67,4042.91,Yes
CUST-10173,Female,0,Yes,Yes,26,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.87,1962.67,Yes
CUST-10174,Female,1,No,No,50,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.55,3587.37,No
CUST-10175,Female,1,Yes,Yes,2,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,95.02,179.15,Yes
CUST-10176,Male,0,No,No,55,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.38,5293.1,No
CUST-10177,Male,1,No,No,56,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,68.9,3867.89,No
CUST-10178,Male,0,No,Yes,14,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,90.43,1282.16,Yes
CUST-10179,Male,1,Yes,No,6,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.68,394.02,No
CUST-10180,Male,0,No,No,61,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,95.32,5830.62,No
CUST-10181,Male,0,Yes,No,12,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.5,235.71,No
CUST-10182,Female,0,No,No,13,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,83.77,1095.86,No
CUST-10183,Male,0,Yes,No,19,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.71,1668.91,Yes
CUST-10184,Male,0,Yes,No,44,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.49,3402.14,Yes
CUST-10185,Male,0,No,No,59,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.42,4990.75,No
CUST-10186,Female,0,Yes,No,37,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),64.2,2370.67,No
CUST-10187,Male,0,Yes,Yes,25,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.02,2114.43,Yes
CUST-10188,Male,0,Yes,Yes,16,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,83.76,1354.61,Yes
CUST-10189,Female,0,Yes,No,38,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),84.83,3232.94,Yes
CUST-10190,Male,1,No,Yes,43,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.66,918.93,No
